类别,功能名称,所在文件,功能描述,解释说明
核心组织规则,Common_Clear_Param(),common_battle_func.lua,清理行为参数数组,初始化50个行为参数槽位，清空权重和子目标配置
核心组织规则,Common_Battle_Activate(),common_battle_func.lua,战斗行为激活器,核心调度器，根据权重表选择执行对应的Act01-Act50函数
核心组织规则,Common_ActivateAct(),common_func_NTC.lua,通用行为激活器,处理特殊效果和状态检查，决定是否激活特定行为
状态查询,_COMMON_GetEzStateAnimId(),common_func.lua,获取动画状态ID,批量获取30个动画状态ID，用于动画切换判断
状态查询,_COMMON_GetMinDist()/GetMaxDist(),common_func.lua,获取攻击距离范围,获取各个攻击动作的最小/最大有效距离
状态查询,_COMMON_GetAtkDistType(),common_func.lua,获取攻击距离类型,将数值转换为距离类型：近距离/中距离/远距离/超出范围
基础攻击,GOAL_COMMON_Attack,attack.lua,基本攻击行为,执行单次攻击，包含攻击角度和成功距离判定
基础攻击,GOAL_COMMON_AttackTunableSpin,attack_tunable_spin.lua,可调节旋转攻击,带有旋转参数的攻击，可调节旋转角度和速度
基础攻击,GOAL_COMMON_AttackEndure,attack_endure.lua,耐久攻击,承受伤害状态下的强制攻击行为
连击系统,GOAL_COMMON_ComboAttack,combo_attack.lua,连击攻击起始,连击序列的第一段，设定连击成功角度
连击系统,GOAL_COMMON_ComboRepeat,combo_repeat.lua,连击重复段,连击序列的中间段，可重复执行
连击系统,GOAL_COMMON_ComboFinal,combo_final.lua,连击终结段,连击序列的最后一段，通常威力更大
连击系统,GOAL_COMMON_ComboAttackTunableSpin,combo_attack_tunable_spin.lua,旋转连击攻击,带旋转效果的连击起始段
移动行为,GOAL_COMMON_ApproachTarget,approach_target.lua,接近目标,向指定目标移动，包含距离判定和移动方式
移动行为,GOAL_COMMON_ApproachSettingDirection,approach_setting_direction.lua,定向接近,从特定方向接近目标，用于战术定位
移动行为,GOAL_COMMON_SidewayMove,flexible_sideway.lua,侧向移动,左右横向移动，保持与目标距离
移动行为,GOAL_COMMON_Turn,turn.lua,转向行为,朝向指定目标或角度转身
移动行为,GOAL_COMMON_Step,step.lua,步伐调整,小幅度位置调整，用于精确定位
防御反应,Common_Parry(),common_func_NTC.lua,招架系统,处理招架时机和反击逻辑
防御反应,GOAL_COMMON_EndureAttack,-,承受攻击,在无法闪避时承受攻击的行为
团队协作,呼叫援助系统,team_call_help.lua,呼叫队友,向周围队友发送援助请求
团队协作,响应援助系统,team_reply_help.lua,响应援助,接收并响应队友的援助请求
状态控制,GOAL_COMMON_Wait,wait_with_anime.lua,等待行为,带动画的等待状态，可设定等待时间
状态控制,傀儡行为,kugutsu_act.lua,傀儡状态,被傀儡术控制时的特殊行为逻辑
状态控制,梯子动作,ladder_act.lua,梯子交互,攀爬梯子的专用行为模块
