GOAL名称,文件名,ezStateId,target,successDistance,successAngle,turnTime,turnFaceAngle,isComboEnabled,isTurn,isGuardBreakAttack,isNonspinning,angleUp,angleDown,isCancelAttack,特殊功能
GOAL_COMMON_Attack,attack.lua,参数0,参数1,参数2,180,1.5,20,FALSE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_AttackTunableSpin,attack_tunable_spin.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),FALSE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,-
GOAL_COMMON_EndureAttack,attack_endure.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),FALSE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,SetEnableEndureCancel_forGoal
GOAL_COMMON_AttackImmediateAction,attack_immediate_action.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),FALSE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,SetEnableImmediateAction_forGoal
GOAL_COMMON_AttackNonCancel,attack_non_cancel.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),FALSE,FALSE,FALSE,FALSE,参数5,参数6,FALSE,-
GOAL_COMMON_NonspinningAttack,nonspinning_attack.lua,参数0,参数1,参数2,180,0,180,FALSE,TRUE,FALSE,TRUE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboAttack,combo_attack.lua,参数0,参数1,参数2,参数5(默认90),1.5,20,TRUE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboRepeat,combo_repeat.lua,参数0,参数1,参数2,90,0,90,TRUE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboFinal,combo_final.lua,参数0,参数1,参数2,180,0,90,FALSE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboAttackTunableSpin,combo_attack_tunable_spin.lua,参数0,参数1,参数2,90,参数3(默认1.5),参数4(默认20),TRUE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,-
GOAL_COMMON_ComboAttack_SuccessAngle180,combo_attack_success_angle180.lua,参数0,参数1,参数2,180,1.5,20,TRUE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboRepeat_SuccessAngle180,combo_repeat_success_angle180.lua,参数0,参数1,参数2,180,0,90,TRUE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_ComboTunable_SuccessAngle180,combo_tunable_success_angle180.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),TRUE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,-
GOAL_COMMON_NonspinningComboAttack,nonspinning_combo_attack.lua,参数0,参数1,参数2,180,0,180,TRUE,TRUE,FALSE,TRUE,参数3,参数4,TRUE,-
GOAL_COMMON_NonspinningComboRepeat,nonspinning_combo_repeat.lua,参数0,参数1,参数2,180,0,180,TRUE,TRUE,FALSE,TRUE,参数3,参数4,TRUE,-
GOAL_COMMON_NonspinningComboFinal,nonspinning_combo_final.lua,参数0,参数1,参数2,180,0,180,FALSE,TRUE,FALSE,TRUE,参数3,参数4,TRUE,-
GOAL_COMMON_GuardBreakAttack,gaurd_break_attack.lua,参数0,参数1,参数2,90,1.5,20,FALSE,TRUE,TRUE,FALSE,参数3,参数4,TRUE,-
GOAL_COMMON_GuardBreakTunable,gaurd_break_tunable.lua,参数0,参数1,参数2,90,参数3(默认1.5),参数4(默认20),FALSE,TRUE,TRUE,FALSE,参数5,参数6,TRUE,-
GOAL_COMMON_StabCounterAttack,attack_stab_counter.lua,参数0,参数1,参数2,180,参数3(默认1.5),参数4(默认20),FALSE,TRUE,FALSE,FALSE,参数5,参数6,TRUE,SetEnableStabCounterCancel_forGoal
GOAL_COMMON_Pursuit,pursuit.lua,参数0,参数1,参数2,180,0,90,FALSE,TRUE,FALSE,FALSE,参数3,参数4,TRUE,-
