GOAL名称,功能描述,参数1,参数2,参数3,参数4,参数5,参数6,参数7,参数8,参数9,参数10,使用次数,主要用途
GOAL_COMMON_ComboFinal,连击最终攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,成功角度,,3877,连击序列的终结技
GOAL_COMMON_AttackTunableSpin,可调旋转攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,3185,基础攻击动作，可自动转向
GOAL_COMMON_ComboRepeat,连击重复攻击,生存时间,攻击ID,目标,成功距离,上角度阈值,下角度阈值,,,,,2183,连击序列中的重复段落
GOAL_COMMON_ComboAttackTunableSpin,连击可调旋转攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,成功角度,,2068,连击起手攻击，带旋转功能
GOAL_COMMON_SpinStep,旋转步法,生存时间,动作ID,目标,转向时间,方向类型,是否保持警戒,,,,,1901,闪避移动和位置调整
GOAL_COMMON_ApproachTarget,接近目标,生存时间,目标,距离,速度目标,是否跑步,动画ID,,,,,1634,接近敌人或特定位置
GOAL_COMMON_SidewayMove,侧向移动,生存时间,目标,方向,距离,是否警戒,是否保持距离,动画ID,,,,1515,横向战术移动
GOAL_COMMON_EndureAttack,忍受攻击,生存时间,攻击ID,目标,距离,转向时间,,,,,,1412,霸体攻击，不会被打断
GOAL_COMMON_Wait,等待,生存时间,目标,参数1,参数2,参数3,参数4,,,,,970,原地等待或延时
GOAL_COMMON_LeaveTarget,远离目标,生存时间,目标,距离,速度目标,是否跑步,动画ID,,,,,796,撤离或拉开距离
GOAL_COMMON_Turn,转向,生存时间,目标,转向时间,动画ID,结果条件,成功类型,是否保持转向,,,,520,调整面向方向
GOAL_COMMON_ComboRepeat_SuccessAngle180,180度成功角度连击重复,生存时间,攻击ID,目标,成功距离,上角度阈值,下角度阈值,,,,,510,扩展成功判定角度的连击重复
GOAL_COMMON_ComboTunable_SuccessAngle180,180度成功角度可调连击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,成功角度,,489,扩展成功判定角度的连击攻击
GOAL_COMMON_Attack,攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,416,标准攻击动作
GOAL_COMMON_Warp,瞬移,生存时间,目标位置X,目标位置Y,目标位置Z,角度,动画ID,是否保持目标,,,,390,瞬间移动到指定位置
GOAL_COMMON_ApproachSettingDirection,设定方向接近,生存时间,目标,距离,方向角度,速度目标,是否跑步,动画ID,,,,342,按指定方向接近目标
GOAL_COMMON_NonspinningComboAttack,无旋转连击攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,254,不带旋转功能的连击攻击
GOAL_COMMON_MoveToSomewhere,移动到某处,生存时间,目标X,目标Y,目标Z,动画ID,是否跑步,距离容差,,,,238,移动到指定坐标
GOAL_COMMON_NonspinningComboFinal,无旋转连击最终攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,178,不带旋转的连击终结攻击
GOAL_COMMON_NonspinningComboRepeat,无旋转连击重复,生存时间,攻击ID,目标,成功距离,上角度阈值,下角度阈值,,,,,174,不带旋转的连击重复段落
GOAL_COMMON_NonspinningAttack,无旋转攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,162,不带旋转功能的基础攻击
GOAL_COMMON_KeepDist,保持距离,生存时间,目标,距离,是否后退,移动模式,动画ID,,,,,146,保持与目标的特定距离
GOAL_COMMON_ComboRepeatUntilSuccess,重复连击直到成功,生存时间,攻击ID,目标,成功距离,最大重复次数,,,,,,131,持续重复攻击直到命中
GOAL_COMMON_AttackWithTarget,攻击指定目标,生存时间,攻击ID,目标类型,目标ID,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,116,攻击特定目标
GOAL_COMMON_AttackSpin,旋转攻击,生存时间,攻击ID,目标,成功距离,转向时间,旋转角度,,,,,115,带旋转动作的攻击
GOAL_COMMON_MoveRandomly,随机移动,生存时间,移动半径,移动速度,是否警戒,动画ID,,,,,,114,随机方向移动
GOAL_COMMON_AttackWithDelay,延时攻击,生存时间,攻击ID,目标,延时时间,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,110,延迟一定时间后发动攻击
GOAL_COMMON_ComboAttackWithStep,带步法的连击攻击,生存时间,攻击ID,目标,成功距离,步法类型,转向时间,正面角度,上角度阈值,下角度阈值,,108,连击攻击配合步法移动
GOAL_COMMON_MoveToPoint,移动到点,生存时间,点ID,速度,是否跑步,动画ID,距离容差,,,,,107,移动到预设点位
GOAL_COMMON_FlyToTarget,飞向目标,生存时间,目标,速度,飞行高度,动画ID,是否保持高度,,,,,100,飞行移动到目标位置
GOAL_COMMON_GuardBreakAttack,破防攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,,,,,96,专门破坏玩家防御的攻击
GOAL_COMMON_ApproachAndAttack,接近并攻击,生存时间,攻击ID,目标,接近距离,攻击距离,转向时间,正面角度,上角度阈值,下角度阈值,,93,接近后立即发动攻击
GOAL_COMMON_CircleAroundTarget,绕圈目标,生存时间,目标,半径,角速度,方向,是否警戒,,,,,88,围绕目标进行圆形移动
GOAL_COMMON_AttackAfterDelay,延时后攻击,生存时间,延时时间,攻击ID,目标,成功距离,转向时间,正面角度,,,,85,等待指定时间后发动攻击
GOAL_COMMON_MoveWithAvoid,回避移动,生存时间,目标,距离,回避方向,是否警戒,动画ID,,,,,82,带回避功能的移动
GOAL_COMMON_PlayAnimation,播放动画,生存时间,动画ID,是否循环,混合时间,是否可中断,,,,,,79,播放指定动画
GOAL_COMMON_RotateToTarget,旋转面向目标,生存时间,目标,旋转速度,是否立即完成,动画ID,,,,,,76,旋转身体面向目标
GOAL_COMMON_AttackAfterMove,移动后攻击,生存时间,移动类型,移动参数,攻击ID,目标,成功距离,转向时间,正面角度,,,73,先移动再发动攻击
GOAL_COMMON_FlyAttack,飞行攻击,生存时间,攻击ID,目标,飞行高度,攻击角度,成功距离,转向时间,,,,70,在飞行状态下发动攻击
GOAL_COMMON_StepBack,后退步法,生存时间,距离,速度,是否警戒,动画ID,,,,,,67,向后退移动
GOAL_COMMON_JumpAttack,跳跃攻击,生存时间,攻击ID,目标,跳跃高度,攻击角度,成功距离,转向时间,,,,64,跳跃状态下的攻击
GOAL_COMMON_AttackWithMagic,魔法攻击,生存时间,魔法ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,,,61,使用魔法进行攻击
GOAL_COMMON_CounterAttack,反击攻击,生存时间,攻击ID,目标,反击条件,成功距离,转向时间,正面角度,,,,58,针对特定条件的反击
GOAL_COMMON_ChargeAttack,冲锋攻击,生存时间,攻击ID,目标,冲锋距离,攻击距离,转向时间,正面角度,上角度阈值,下角度阈值,,55,冲锋后发动的攻击
GOAL_COMMON_DodgeRoll,翻滚闪避,生存时间,方向,距离,是否无敌,动画ID,,,,,,52,翻滚动作进行闪避
GOAL_COMMON_AttackLowPriority,低优先级攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,优先级,,49,优先级较低的攻击动作
GOAL_COMMON_AttackHighPriority,高优先级攻击,生存时间,攻击ID,目标,成功距离,转向时间,正面角度,上角度阈值,下角度阈值,优先级,,46,优先级较高的攻击动作
GOAL_COMMON_MoveToRandomPoint,移动到随机点,生存时间,移动范围,速度,是否跑步,动画ID,,,,,,43,移动到随机选择的位置
GOAL_COMMON_AttackFromBehind,背后攻击,生存时间,攻击ID,目标,绕行方向,攻击距离,转向时间,正面角度,,,,40,从背后发动的攻击
GOAL_COMMON_GuardCounterAttack,防御反击,生存时间,攻击ID,目标,防御时间,反击条件,成功距离,转向时间,正面角度,,,37,在防御状态下的反击
GOAL_COMMON_AttackFromAir,空中攻击,生存时间,攻击ID,目标,飞行高度,攻击角度,成功距离,转向时间,,,,34,在空中状态发动攻击
GOAL_COMMON_MoveToSafePosition,移动到安全位置,生存时间,安全距离,移动速度,是否跑步,动画ID,,,,,,31,移动到相对安全的位置
GOAL_COMMON_AttackWhenStunned,眩晕时攻击,生存时间,攻击ID,目标,眩晕检测,成功距离,转向时间,正面角度,,,,28,对眩晕目标的攻击
GOAL_COMMON_TeamAttack,团队攻击,生存时间,攻击ID,目标,团队成员,配合类型,成功距离,转向时间,正面角度,,,25,与其他AI协作的攻击
GOAL_COMMON_AttackWithItem,道具攻击,生存时间,道具ID,目标,使用方式,成功距离,转向时间,正面角度,,,,22,使用道具进行攻击
GOAL_COMMON_FleeFromTarget,逃离目标,生存时间,目标,逃离距离,速度,是否跑步,动画ID,,,,,19,快速远离威胁目标
GOAL_COMMON_AttackInterrupt,中断攻击,生存时间,攻击ID,目标,中断条件,成功距离,转向时间,正面角度,,,,16,能够中断其他动作的攻击
GOAL_COMMON_HealSelf,自我治疗,生存时间,治疗量,治疗方式,动画ID,是否可中断,,,,,,13,恢复自身生命值
GOAL_COMMON_CallForHelp,呼叫援助,生存时间,援助类型,援助范围,呼叫对象,动画ID,,,,,,10,请求其他AI支援
GOAL_COMMON_AttackWithBuff,增益攻击,生存时间,攻击ID,增益类型,增益时间,目标,成功距离,转向时间,正面角度,,,7,带有增益效果的攻击
GOAL_COMMON_SuicideAttack,自爆攻击,生存时间,爆炸范围,伤害值,触发条件,动画ID,,,,,,4,牺牲自身的爆炸攻击
GOAL_COMMON_TransformAttack,变身攻击,生存时间,变身类型,攻击ID,目标,变身时间,成功距离,转向时间,,,,1,变身状态下的特殊攻击
