Filename,Category,Description,,,,,,,
000100_platoon.lua,Team Coordination,Basic platoon behavior logic for group enemy coordination,,,,,,,
000110_platoon.lua,Team Coordination,Enhanced platoon behavior with formation management,,,,,,,
000120_platoon.lua,Team Coordination,Advanced platoon tactics and group combat strategies,,,,,,,
000130_platoon.lua,Team Coordination,Specialized platoon behavior for specific enemy types,,,,,,,
000140_platoon.lua,Team Coordination,Elite unit platoon coordination and leadership,,,,,,,
000150_platoon.lua,Team Coordination,Complex multi-unit platoon orchestration,,,,,,,
000160_platoon.lua,Team Coordination,Master-level platoon AI with dynamic role assignment,,,,,,,
001540_logic.lua,Core Logic,Wataa-specific AI logic controller (LOGIC_ID_Wataa1540),,,,,,,
010000_logic.lua,Core Logic,Common base logic system for all AI entities,,,,,,,
011000_battle.lua,Combat Core,Standard battle behavior framework for combat encounters,,,,,,,
011000_logic.lua,Core Logic,Core combat logic controller for battle state management,,,,,,,
011001_logic.lua,Core Logic,Extended combat logic with additional behavioral patterns,,,,,,,
014000_battle.lua,Combat Core,Advanced battle system with complex attack patterns,,,,,,,
after_attack_act.lua,Combat Timing,Post-attack behavior management and recovery actions,,,,,,,
ai_define.lua,System,Core AI constant definitions and enums and system parameters,,,,,,,
approach_lifeSuccess.lua,Movement,Target approach behavior with life-based success conditions,,,,,,,
approach_on_failed_path.lua,Movement,Pathfinding recovery behavior when navigation fails,,,,,,,
approach_setting_direction.lua,Movement,Directional approach behavior with customizable facing,,,,,,,
approach_target.lua,Movement,Basic target approach behavior with distance management,,,,,,,
approach_target_parallelMov.lua,Movement,Parallel movement approach for complex navigation,,,,,,,
attack.lua,Combat Core,Basic attack goal implementation with target validation,,,,,,,
attack_endure.lua,Combat Core,Endurance-based attack system for sustained combat,,,,,,,
attack_immediate_action.lua,Combat Core,Instant reaction attack system for quick responses,,,,,,,
attack_non_cancel.lua,Combat Core,Non-interruptible attack sequences,,,,,,,
attack_stab_counter.lua,Combat Special,Counter-attack system specifically for stab attacks,,,,,,,
attack_tunable_spin.lua,Combat Special,Spinning attack system with adjustable rotation,,,,,,,
attack3.lua,Combat Core,Three-stage attack combination system,,,,,,,
back_to_home_on_failed_path.lua,Movement,Return to spawn point when pathfinding fails,,,,,,,
back_to_home_with_parry.lua,Movement,Home return behavior with defensive parry capability,,,,,,,
call_team.lua,Team Coordination,Team summoning and reinforcement calling system,,,,,,,
clear_target.lua,System,Target clearing and reset functionality,,,,,,,
combo_attack.lua,Combat Combos,Basic combo attack chain implementation,,,,,,,
combo_attack_success_angle180.lua,Combat Combos,180-degree success angle combo system,,,,,,,
combo_attack_tunable_spin.lua,Combat Combos,Combo attacks with adjustable spin mechanics,,,,,,,
combo_final.lua,Combat Combos,Final hit in combo sequences with finishing moves,,,,,,,
combo_repeat.lua,Combat Combos,Repeating combo patterns for sustained pressure,,,,,,,
combo_repeat_success_angle180.lua,Combat Combos,180-degree angle repeating combo system,,,,,,,
combo_tunable_success_angle180.lua,Combat Combos,Tunable combo system with 180-degree success detection,,,,,,,
come_down.lua,Movement,Vertical descent behavior for aerial enemies,,,,,,,
common_attack.lua,Combat Core,Shared attack functionality used by multiple enemy types,,,,,,,
common_battle_func.lua,Utility,Core battle utility functions and combat helper methods,,,,,,,
common_enemy.lua,Utility,Shared enemy behavior functions and common AI patterns,,,,,,,
common_enemy_function.lua,Utility,Advanced enemy AI utility functions and behavior helpers,,,,,,,
common_func.lua,Utility,Core utility functions and shared helper methods,,,,,,,
common_func_FDP.lua,Utility,FDP-specific utility functions,,,,,,,
common_func_NTC.lua,Utility,NTC-specific utility functions,,,,,,,
common_func2.lua,Utility,Extended utility functions and additional helpers,,,,,,,
common_logic_func.lua,Utility,Shared logic processing functions,,,,,,,
common_platoon_func.lua,Team Coordination,Platoon management utility functions,,,,,,,
continue_attack.lua,Combat Core,Sustained attack patterns for prolonged combat,,,,,,,
continue_keepdist.lua,Combat Positioning,Continuous distance maintenance during combat,,,,,,,
door_act.lua,Environment,Door interaction behavior and object activation,,,,,,,
enemy_attack.lua,Combat Core,Generic enemy attack behavior system,,,,,,,
enemy_chain_attack.lua,Combat Core,Chained attack sequences for enemies,,,,,,,
enemy_common_SubGoal.lua,System,Common sub-goal implementations for enemy AI,,,,,,,
enemy_derive_attack.lua,Combat Core,Derived attack patterns based on combat state,,,,,,,
enemy_flexible_approach.lua,Movement,Adaptive approach behavior for varied combat situations,,,,,,,
