GOAL名称,GOAL类型,功能描述,参数0名称,参数0说明,参数1名称,参数1说明,参数2名称,参数2说明,参数3名称,参数3说明,参数4名称,参数4说明,参数5名称,参数5说明,参数6名称,参数6说明,攻击角度,旋回时间默认值,正面角度默认值,移动是否启用,是否可中断,特殊机制说明
GOAL_COMMON_Attack,基础攻击,基础单次攻击行为，所有攻击的基础模块,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,无,无,否,否,委托给CommonAttack执行
GOAL_COMMON_Attack3,基础攻击,具有条件触发和精确转向的攻击，只在满足角度要求时执行,EzState番号,动画状态ID,攻撃対象Type,攻击目标类型,成功距離Type,成功距离类型,攻撃前旋回時間(秒),攻击前转向时间(秒),正面判定角度(度),正面判定角度(度),必ず成功するか,是否必定成功,,,180度,1.5秒(负值时),10度(负值时),是,否,精确转向+条件触发+团队协调记录
GOAL_COMMON_AttackTunableSpin,基础攻击,具有智能转向控制的攻击，适合移动目标,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),否,否,智能转向+参数自适应
GOAL_COMMON_AttackImmediateAction,基础攻击,可在攻击期间响应高优先级事件的攻击,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),否,否,SetEnableImmediateAction_forGoal启用即时响应
GOAL_COMMON_EndureAttack,基础攻击,执行不可中断的持续攻击，启用霸体状态,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),否,否,SetEnableEndureCancel_forGoal启用霸体状态
GOAL_COMMON_AttackNonCancel,基础攻击,完全不可取消的攻击，一旦开始必须完整执行,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),否,否,所有取消标志均为false
GOAL_COMMON_StabCounterAttack,基础攻击,专门针对刺击攻击的反击，具有特殊取消机制,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,攻撃前旋回時間,攻击前旋回时间(秒),正面判定角度,正面判定角度(度),上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,180度,1.5秒(负值时),20度(负值时),否,否,SetEnableStabCounterCancel_forGoal启用刺击反击取消
GOAL_COMMON_NonspinningAttack,基础攻击,无旋转动作的直接攻击，适用于快速响应,EzState番号,动画状态ID,攻撃対象Type,攻击目标类型,成功距離Type,成功距离类型,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,180度,0秒,180度,否,否,旋回时间为0秒+180度判定角度
GOAL_COMMON_ContinueAttack,基础攻击,持续无间断攻击直到满足停止条件,EzState番号,动画状态ID,攻撃対象Type,攻击目标类型,成功距離(m),成功距离(米),命中したら成功,命中后是否成功,,,,,,,不限定,无,无,否,否,直接SetAttackRequest+团队协调记录
GOAL_COMMON_GuardBreakAttack,基础攻击,标准化的架势破坏攻击，使用固定参数,EzStateID,动画状态ID,攻撃対象,攻击目标,成功距離,攻击成功距离,上攻撃角度,上攻击角度限制,下攻撃角度,下攻击角度限制,,,,,90度,1.5秒,20度,是,否,使用预设标准参数(90度/1.5秒/20度)
