ID,Name,behaviorVariationId,sortId,wanderingEquipId,weight,weaponWeightRate,fixPrice,reinforcePrice,sellValue,correctStrength,correctAgility,correctMagic,correctFaith,physGuardCutRate,magGuardCutRate,fireGuardCutRate,thunGuardCutRate,spEffectBehaviorId0,spEffectBehaviorId1,spEffectBehaviorId2,residentSpEffectId,residentSpEffectId1,residentSpEffectId2,materialSetId,originEquipWep,originEquipWep1,originEquipWep2,originEquipWep3,originEquipWep4,originEquipWep5,originEquipWep6,originEquipWep7,originEquipWep8,originEquipWep9,originEquipWep10,originEquipWep11,originEquipWep12,originEquipWep13,originEquipWep14,originEquipWep15,weakA_DamageRate,weakB_DamageRate,weakC_DamageRate,weakD_DamageRate,vagrantItemLotId,vagrantBonusEneDropItemLotId,vagrantItemEneDropItemLotId,equipModelId,iconId,durability,durabilityMax,attackThrowEscape,parryDamageLife,attackBasePhysics,attackBaseMagic,attackBaseFire,attackBaseThunder,attackBaseStamina,saWeaponDamage,saDurability,guardAngle,staminaGuardDef,reinforceTypeId,trophySGradeId,trophySeqId,throwAtkRate,bowDistRate,equipModelCategory,equipModelGender,weaponCategory,wepmotionCategory,guardmotionCategory,atkMaterial,defSeMaterial1,correctType_Physics,spAttribute,spAtkcategory,wepmotionOneHandId,wepmotionBothHandId,properStrength,properAgility,properMagic,properFaith,overStrength,attackBaseParry,defenseBaseParry,guardBaseRepel,attackBaseRepel,guardCutCancelRate,guardLevel,slashGuardCutRate,lightHitGuardCutRate,thrustGuardCutRate,poisonGuardResist,diseaseGuardResist,bloodGuardResist,curseGuardResist,isDurabilityDivergence,rightHandEquipable,leftHandEquipable,bothHandEquipable,arrowSlotEquipable,boltSlotEquipable,enableGuard,enableParry,enableMagic,enableSorcery,enableMiracle,enableVowMagic,isNormalAttackType,isBlowAttackType,isSlashAttackType,isThrustAttackType,isEnhance,isHeroPointCorrect,isCustom,disableBaseChangeReset,disableRepair,isDarkHand,simpleModelForDlc,lanternWep,isVersusGhostWep,baseChangeCategory,isDragonSlayer,isDeposit,disableMultiDropShare,isDiscard,isDrop,isNoticeLog,isNoticeDialog,pad1,defSfxMaterial1,wepCollidableType0,wepCollidableType1,staminaJustGuardDef,traceSfxId0,traceDmyIdHead0,traceDmyIdTail0,traceSfxId1,traceDmyIdHead1,traceDmyIdTail1,traceSfxId2,traceDmyIdHead2,traceDmyIdTail2,traceSfxId3,traceDmyIdHead3,traceDmyIdTail3,traceSfxId4,traceDmyIdHead4,traceDmyIdTail4,traceSfxId5,traceDmyIdHead5,traceDmyIdTail5,traceSfxId6,traceDmyIdHead6,traceDmyIdTail6,traceSfxId7,traceDmyIdHead7,traceDmyIdTail7,defSfxMaterial2,defSeMaterial2,absorpParamId,toughnessCorrectRate,isValidTough_ProtSADmg,isDualBlade,isAutoEquip,isEnableEmergencyStep,invisibleOnRemo,pad2,correctType_Magic,correctType_Fire,correctType_Thunder,weakE_DamageRate,weakF_DamageRate,darkGuardCutRate,attackBaseDark,correctType_Dark,correctType_Poison,swordArtsId,correctType_Blood,properLuck,freezeGuardResist,autoReplenishType,swordArtsParamId,correctLuck,arrowBoltEquipId,residentSfxId_1,residentSfxId_2,residentSfxId_3,residentSfxId_4,residentSfx_DmyId_1,residentSfx_DmyId_2,residentSfx_DmyId_3,residentSfx_DmyId_4,residentSfx_1_IsVisibleForHang,residentSfx_2_IsVisibleForHang,residentSfx_3_IsVisibleForHang,residentSfx_4_IsVisibleForHang,isSoulParamIdChange_model0,isSoulParamIdChange_model1,isSoulParamIdChange_model2,isSoulParamIdChange_model3,DerivationLevelType,enchantSfxSize,compTrophySedId,pad3,wepTypeForText,physGuardCutRate_MaxCorrect,magGuardCutRate_MaxCorrect,fireGuardCutRate_MaxCorrect,thunGuardCutRate_MaxCorrect,darkGuardCutRate_MaxCorrect,poisonGuardResist_MaxCorrect,diseaseGuardResist_MaxCorrect,bloodGuardResist_MaxCorrect,curseGuardResist_MaxCorrect,freezeGuardResist_MaxCorrect,staminaGuardDef_MaxCorrect,staminaConsumptionRate,vsPlayerDmgCorrectRate_Physics,vsPlayerDmgCorrectRate_Magic,vsPlayerDmgCorrectRate_Fire,vsPlayerDmgCorrectRate_Thunder,vsPlayerDmgCorrectRate_Dark,vsPlayerDmgCorrectRate_Poison,vsPlayerDmgCorrectRate_Blood,vsPlayerDmgCorrectRate_Freeze,attainmentWepStatusStr,attainmentWepStatusDex,attainmentWepStatusMag,attainmentWepStatusFai,attainmentWepStatusLuc,attackElementCorrectId,saleValue,reinforceShopCategory,maxArrowQuantity,wepSeIdOffset,pad4,baseChangePrice,levelSyncCorrectId,knockBackCutRate_vsPlayer_Guard,knockBackCutRate_vsPlayer_JustGuard,knockBackCutRate_vsEnemy_Guard,knockBackCutRate_vsEnemy_JustGuard,neutralAttackCutRate,ninsatsuAttackCutRate,heavyHitAttackCutRate,antiGroundAttackCutRate,antiAirAttackCutRate,lightShootAttackCutRate,resourceItemA,resourceItemB,resourceItemC,itemUIDisplayType,actionUnlockParamId,firstGetEventFlagId,poisonJustGuardResist,diseaseJustGuardResist,bloodJustGuardResist,curseJustGuardResist,freezeJustGuardResist,attriAAttackCutRate,attriBAttackCutRate,attriCAttackCutRate,physJustGuardCutRate,magJustGuardCutRate,fireJustGuardCutRate,thunJustGuardCutRate,darkJustGuardCutRate,staminaAttackPowerRate,passiveStaminaAtkRate,
1000,Uncorrected weapon -- 補正なし武器,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1100,Throw knife -- 投げナイフ,0,-1,0,0,0,0,0,-1,30,60,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1200,Molotov cocktail -- 火炎瓶,0,-1,0,0,0,0,0,-1,30,0,0,100,0,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5000,Right-handed sword_style: None -- 右手刀_流派技：なし,5000,3000,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,-1,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,0,0,0,1,10,40,40,40,40,0,40,0,0,0,100,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,0,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5100,Right-handed sword_style technique: rotary slash -- 右手刀_流派技：回転斬り,5001,9500,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140000,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1370,0,0,1,10,40,40,40,40,0,40,0,0,0,1000,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,100,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5200,Right-handed sword_style technique: jumping and slashing -- 右手刀_流派技：飛びかかり斬り,5002,9510,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140100,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1440,0,0,1,10,40,40,40,40,0,40,0,0,0,1010,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,101,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5300,Right-handed sword_style technique: face-to-face -- 右手刀_流派技：面打ち,5003,9530,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140200,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1510,0,0,1,10,40,40,40,40,0,40,0,0,0,1020,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,102,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5400,Right-handed sword_style technique: Kensei Iai -- 右手刀_流派技：剣聖居合,5004,9620,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140300,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1750,0,0,1,10,40,40,40,40,0,40,0,0,0,1030,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,103,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2320,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5500,Right-handed sword_style technique: Iai -- 右手刀_流派技：居合,5005,9550,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140400,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1530,0,0,1,10,40,40,40,40,0,40,0,0,0,1040,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,104,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2320,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
5600,Right-handed sword _ school technique: eight-legged rush -- 右手刀_流派技：八艘飛びラッシュ,5020,9640,5000,0,0,0,0,0,0,0,0,0,100,25,33,0,-1,-1,-1,140500,-1,-1,-1,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,300,1760,0,0,1,10,40,40,40,40,0,40,0,0,0,1050,-1,-1,0,-1,7,0,4,50,0,0,101,0,1,105,0,0,0,0,0,0,99,0,0,20,10,0,1,0,0,0,0,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,101,1,1,0,401000,300,301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,139,139,5000,0,0,0,0,0,0,0,0,0,0,1,1,50,40,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,[0|0],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,100,50,0,0,0,0,0,100,50,50,0,100,1,1
