ID,Name,camAtPosX,camAtPosY,camAtPosZ,camDist,camRotX,camRotY,camFov,camDistMin,camDistMax,camRotXMin,camRotXMax,GparamID,pad,
0,For character make-up preview &lt;whole body&gt; -- キャラメイクプレビュー用＜全身＞,0,0.85,0,2.66,17.189,-8.594,40,2.2,2.8,-89,89,11,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
1,For character makeup preview &lt;face&gt; -- キャラメイクプレビュー用＜顔＞,0,1.55,-0.09,1.2,10.313,-13.751,16.5,0.95,1.6,-58.06,89,10,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
2,For status menu &lt;whole body&gt; -- ステータスメニュー用＜全身＞,0,0.85,0,2.66,17.189,-8.594,40,0,0,0,0,11,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
3,For ranking menu &lt;whole body&gt; -- ランキングメニュー用＜全身＞,0,0.85,0,2.66,17.189,-8.594,40,0,0,0,0,11,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
10,For character makeup grid &lt;face&gt; -- キャラメイクグリッド用＜顔＞,0,1.58,0,1.2,1.719,-14.85,15,0,0,0,0,10,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
11,For kick menu &lt;face&gt; -- キックメニュー用＜顔＞,-0.015,1.54,0,1.1,1.719,-14.85,15,0,0,0,0,15,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
12,For status menu &lt;face&gt; -- ステータスメニュー用＜顔＞,0,1.56,-0.07,1.48,2.6,-23,10,0,0,0,0,13,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
13,For ranking menu &lt;face&gt; -- ランキングメニュー用＜顔＞,0,1.58,0,1.2,1.719,-14.85,15,0,0,0,0,10,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
14,For summon sign &lt;face&gt; -- 召喚サイン用＜顔＞,0,1.58,0,1.1,1.719,-14.85,15,0,0,0,0,15,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
15,For game end confirmation menu &lt;face&gt; -- ゲーム終了確認メニュー用＜顔＞,0,1.59,0,1.39,2.6,-23.34,12,0,0,0,0,12,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
20,For profile selection &lt;face&gt; -- プロファイル選択用＜顔＞,-0.017,1.55,0,1.6,1.719,-13.751,8,0,0,0,0,14,[0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0]
