ID,Name,equipId,value,mtrlId,eventFlag,flagId_forRelease,sellQuantity,shopType,equipType,value_SAN,pad,value_Add,value_Magnification,
1,Don&#39;t erase -- 消すべからず,9999,100,-1,-1,-1,-1,0,3,-1,[0|0],0,1
1000,Resource item A (white charge) -- リソースアイテムA（白形代）,1000,-1,-1,-1,6205,-1,0,3,-1,[0|0],0,10
1010,Resource item A (white charge) -- リソースアイテムA（白形代）,1000,-1,-1,-1,6205,-1,0,3,-1,[0|0],0,20
1020,Resource item A (white charge) -- リソースアイテムA（白形代）,1000,-1,-1,-1,6205,-1,0,3,-1,[0|0],0,30
1030,Resource item A (white charge) -- リソースアイテムA（白形代）,1000,-1,-1,-1,6205,-1,0,3,-1,[0|0],0,50
1000000,Lifting of the ban on school techniques_Hachiman Flying Rush -- 流派技解禁_八艘飛びラッシュ,2461,0,5,71001000,-1,1,0,3,-1,[0|0],0,1
1000001,[Replenishment] Flame prevention_Yes -- 【補充】炎上予防_有,3310,0,2,71001010,-1,1,0,3,-1,[0|0],0,1
1000002,Mask Fragment A -- お面の破片A,5500,0,7,71001020,-1,1,0,3,-1,[0|0],0,1
1000003,[Consumption] Elixir -- 【消費】エリクサー,3040,0,1,71001040,-1,1,0,3,-1,[0|0],0,1
1000004,[Consumption] Weird young water thrombus (scale shop fry) -- 【消費】変若水血栓（うろこショップ稚魚）,3051,0,3,-1,59,-1,0,3,-1,[0|0],0,1
1000005,Mask Fragment B -- お面の破片B,5501,0,12,72501000,1642,1,0,3,-1,[0|0],0,1
1000006,Master -- 原盤,6400,0,6,72501020,1642,2,0,3,-1,[0|0],0,1
1000007,Dragon cough healing -- 竜咳治癒,5600,0,1,72501030,1642,1,0,3,-1,[0|0],0,1
1100000,Prosthetic hand ninja tool creation_firecracker -- 義手忍具作成_爆竹,9710,500,-1,71101000,-1,1,0,3,-1,[0|0],0,1
1100001,[Consumption] Regeneration -- 【消費】リジェネ,3020,50,-1,71101010,-1,4,0,3,-1,[0|0],0,1
1100002,[Consumption] Strengthening defense -- 【消費】防御強化,3420,50,-1,71101020,-1,2,0,3,-1,[0|0],0,1
1100003,[Consumption] Disease recovery + resistance enhancement -- 【消費】病毒回復 + 耐性強化,3200,30,-1,71101030,-1,6,0,3,-1,[0|0],0,1
1100004,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,110,-1,71101040,-1,3,0,3,-1,[0|0],0,1
1100005,[Consumption] Release illusion -- 【消費】幻術解除,3530,80,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100006,[Consumption] Strengthening anti-spirit -- 【消費】対霊強化,3450,300,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100007,[Consumption] Strengthening resistance to electric shock -- 【消費】感電耐性強化,3230,50,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100008,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,150,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100009,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,150,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100050,Prosthetic hand ninja tool creation_firecracker -- 義手忍具作成_爆竹,9710,450,-1,71101000,-1,1,0,3,-1,[0|0],0,1
1100051,[Consumption] Regeneration -- 【消費】リジェネ,3020,45,-1,71101010,-1,4,0,3,-1,[0|0],0,1
1100052,[Consumption] Strengthening defense -- 【消費】防御強化,3420,45,-1,71101020,-1,2,0,3,-1,[0|0],0,1
1100053,[Consumption] Disease recovery + resistance enhancement -- 【消費】病毒回復 + 耐性強化,3200,27,-1,71101030,-1,6,0,3,-1,[0|0],0,1
1100054,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,100,-1,71101040,-1,3,0,3,-1,[0|0],0,1
1100055,[Consumption] Release illusion -- 【消費】幻術解除,3530,72,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100056,[Consumption] Strengthening anti-spirit -- 【消費】対霊強化,3450,270,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100057,[Consumption] Strengthening resistance to electric shock -- 【消費】感電耐性強化,3230,45,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100058,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,135,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100059,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,135,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100100,Prosthetic hand ninja tool creation_firecracker -- 義手忍具作成_爆竹,9710,500,-1,71101000,-1,1,0,3,-1,[0|0],0,1
1100101,Gourd possession upper limit UP -- ひょうたん所持上限UP,4400,1000,-1,71101210,-1,1,0,3,-1,[0|0],0,1
1100102,[Consumption] Disease recovery + resistance enhancement -- 【消費】病毒回復 + 耐性強化,3200,30,-1,71101220,-1,3,0,3,-1,[0|0],0,1
1100103,[Consumption] Grip ash -- 【消費】握り灰,3510,30,-1,71101230,-1,12,0,3,-1,[0|0],0,1
1100104,Dragon cough healing -- 竜咳治癒,5600,180,-1,71101240,9090,1,0,3,-1,[0|0],0,1
1100105,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,110,-1,71101250,-1,3,0,3,-1,[0|0],0,1
1100106,[Consumption] Gold nugget _ Medium -- 【消費】金塊_中,3704,550,-1,71101260,-1,2,0,3,-1,[0|0],0,1
1100107,[Consumption] Release illusion -- 【消費】幻術解除,3530,80,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100108,[Consumption] Strengthening anti-spirit -- 【消費】対霊強化,3450,300,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100109,[Consumption] Strengthening resistance to electric shock -- 【消費】感電耐性強化,3230,50,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100110,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,150,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100111,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,150,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100112,Dragon cough healing refill -- 竜咳治癒おかわり,5600,240,-1,71101320,9095,1,0,3,-1,[0|0],0,1
1100150,Prosthetic hand ninja tool creation_firecracker -- 義手忍具作成_爆竹,9710,450,-1,71101000,-1,1,0,3,-1,[0|0],0,1
1100151,Gourd possession upper limit UP -- ひょうたん所持上限UP,4400,900,-1,71101210,-1,1,0,3,-1,[0|0],0,1
1100152,[Consumption] Disease recovery + resistance enhancement -- 【消費】病毒回復 + 耐性強化,3200,27,-1,71101220,-1,3,0,3,-1,[0|0],0,1
1100153,[Consumption] Grip ash -- 【消費】握り灰,3510,27,-1,71101230,-1,12,0,3,-1,[0|0],0,1
1100154,Dragon cough healing -- 竜咳治癒,5600,162,-1,71101240,9090,1,0,3,-1,[0|0],0,1
1100155,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,100,-1,71101250,-1,3,0,3,-1,[0|0],0,1
1100156,[Consumption] Gold nugget _ Medium -- 【消費】金塊_中,3704,500,-1,71101260,-1,2,0,3,-1,[0|0],0,1
1100157,[Consumption] Release illusion -- 【消費】幻術解除,3530,72,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100158,[Consumption] Strengthening anti-spirit -- 【消費】対霊強化,3450,270,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100159,[Consumption] Strengthening resistance to electric shock -- 【消費】感電耐性強化,3230,45,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100160,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,135,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100161,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,135,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100162,Dragon cough healing refill -- 竜咳治癒おかわり,5600,216,-1,71101320,9095,1,0,3,-1,[0|0],0,1
1100200,Strengthening prosthetic hand ninja _ Shuriken _ Butterfly kunai -- 義手忍具強化_手裏剣_お蝶クナイ,9701,3000,-1,71101400,-1,1,0,3,-1,[0|0],0,1
1100201,[Consumption] Ceramic piece -- 【消費】陶片,3500,20,-1,71101410,-1,8,0,3,-1,[0|0],0,1
1100202,[Consumption] Grip ash -- 【消費】握り灰,3510,30,-1,71101420,-1,6,0,3,-1,[0|0],0,1
1100203,[Consumption] Regeneration -- 【消費】リジェネ,3020,50,-1,71101430,-1,2,0,3,-1,[0|0],0,1
1100204,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,110,-1,71101440,-1,5,0,3,-1,[0|0],0,1
1100205,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,150,-1,-1,9041,-1,0,3,-1,[0|0],0,1
1100206,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,150,-1,-1,9041,-1,0,3,-1,[0|0],0,1
1100207,[Consumption] Attack enhancement_with disadvantages -- 【消費】攻撃強化_デメリット付き,3410,130,-1,71101470,71100253,2,0,3,-1,[0|0],0,1
1100208,[Consumption] Strengthening the core -- 【消費】体幹強化,3430,80,-1,71101480,71100253,5,0,3,-1,[0|0],0,1
1100209,[Consumption] Gold nugget _ Medium -- 【消費】金塊_中,3704,550,-1,71101490,71100253,2,0,3,-1,[0|0],0,1
1100210,General-purpose material: Steel 2 (Large piece) -- 汎用素材：鋼鉄2（大欠片）,6010,300,-1,71101500,71100254,4,0,3,-1,[0|0],0,1
1100211,General-purpose material: Chemistry 2 (Large piece) -- 汎用素材：化学2（大欠片）,6200,300,-1,71101510,71100254,3,0,3,-1,[0|0],0,1
1100212,General-purpose material: Magic 2 (Large Fragment) -- 汎用素材：呪術2（大欠片）,6300,300,-1,71101520,71100254,3,0,3,-1,[0|0],0,1
1100213,[Consumption] Gold nugget_Large -- 【消費】金塊_大,3708,1100,-1,71101530,71100254,2,0,3,-1,[0|0],0,1
1100214,[Consumption] Attack enhancement -- 【消費】攻撃強化,3400,120,-1,-1,71100254,-1,0,3,-1,[0|0],0,1
1100215,[Consumption] Elixir -- 【消費】エリクサー,3040,200,-1,71101550,71100277,1,0,3,-1,[0|0],0,1
1100216,[Consumption] Release illusion -- 【消費】幻術解除,3530,80,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100217,[Consumption] Strengthening anti-spirit -- 【消費】対霊強化,3450,300,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100218,[Consumption] Strengthening resistance to electric shock -- 【消費】感電耐性強化,3230,50,-1,-1,6021,-1,0,3,-1,[0|0],0,1
1100250,Strengthening prosthetic hand ninja _ Shuriken _ Butterfly kunai -- 義手忍具強化_手裏剣_お蝶クナイ,9701,2700,-1,71101400,-1,1,0,3,-1,[0|0],0,1
1100251,[Consumption] Ceramic piece -- 【消費】陶片,3500,18,-1,71101410,-1,8,0,3,-1,[0|0],0,1
1100252,[Consumption] Grip ash -- 【消費】握り灰,3510,27,-1,71101420,-1,6,0,3,-1,[0|0],0,1
1100253,[Consumption] Regeneration -- 【消費】リジェネ,3020,45,-1,71101430,-1,2,0,3,-1,[0|0],0,1
1100254,[Consumption] Gold nugget_small -- 【消費】金塊_小,3700,100,-1,71101440,-1,5,0,3,-1,[0|0],0,1
1100255,General-purpose material: Steel 1 (fragment) -- 汎用素材：鋼鉄1（欠片）,6000,135,-1,-1,9041,-1,0,3,-1,[0|0],0,1
1100256,General-purpose material: Chemical magic 1 (fragment) -- 汎用素材：化学呪術1（欠片）,6100,135,-1,-1,9041,-1,0,3,-1,[0|0],0,1
1100257,[Consumption] Attack enhancement_with disadvantages -- 【消費】攻撃強化_デメリット付き,3410,117,-1,71101470,71100253,2,0,3,-1,[0|0],0,1
1100258,[Consumption] Strengthening the core -- 【消費】体幹強化,3430,72,-1,71101480,71100253,5,0,3,-1,[0|0],0,1
1100259,[Consumption] Gold nugget _ Medium -- 【消費】金塊_中,3704,500,-1,71101490,71100253,2,0,3,-1,[0|0],0,1
1100260,General-purpose material: Steel 2 (Large piece) -- 汎用素材：鋼鉄2（大欠片）,6010,270,-1,71101500,71100254,4,0,3,-1,[0|0],0,1
1100261,General-purpose material: Chemistry 2 (Large piece) -- 汎用素材：化学2（大欠片）,6200,270,-1,71101510,71100254,3,0,3,-1,[0|0],0,1
1100262,General-purpose material: Magic 2 (Large Fragment) -- 汎用素材：呪術2（大欠片）,6300,270,-1,71101520,71100254,3,0,3,-1,[0|0],0,1
1100263,[Consumption] Gold nugget_Large -- 【消費】金塊_大,3708,1000,-1,71101530,71100254,2,0,3,-1,[0|0],0,1
1100264,[Consumption] Attack enhancement -- 【消費】攻撃強化,3400,108,-1,-1,71100254,-1,0,3,-1,[0|0],0,1
1100265,[Consumption] Elixir -- 【消費】エリクサー,3040,180,-1,71101550,71100277,1,0,3,-1,[0|0],0,1
