ID,Name,limitationTime_Normal,limitationTime_NormalDriedFinger,limitationTime_Guardian,limitationTime_GuardianDriedFinger,
1,White sign level 1 -- 白サインレベル1,180,180,180,180
2,White sign level 2 -- 白サインレベル2,180,180,180,180
3,White sign level 3 -- 白サインレベル3,180,180,180,180
4,White sign level 4 -- 白サインレベル4,180,180,180,180
5,White sign level 5 -- 白サインレベル5,360,360,360,360
6,White sign level 6 -- 白サインレベル6,360,360,360,360
7,White sign level 7 -- 白サインレベル7,360,360,360,360
8,White sign level 8 -- 白サインレベル8,360,360,360,360
9,White sign level 9 -- 白サインレベル9,360,360,360,360
10,White sign level 10 -- 白サインレベル10,360,360,360,360
