ID,名称
0,狼忍者
1010,苇名杂兵
1013,蜈蚣
1020,武士大将
1040,仙峰寺抓抓
1050,武僧
1060,操虫棍
1080,影子武士
1100,蜥蜴
1120,敲锣小兵
1130,罗伯特
1140,墙内人
1150,狼
1180,锥子胖重
1190,(无名称)
1200,仙峰寺蜈蚣人
1220,仙峰寺方丈
1240,公鸡
1250,白猴
1310,仙乡武士
1320,鲤鱼
1350,无首
1360,斗笠怪
1400,剑道 武士
1450,寄鹰众
1470,孤影众
1500,水生村村民
1550,两年前杂兵
1700,内务府双刀
5000,破戒僧
5010,白蛇
5020,赤鬼
5050,鲤鱼王
5060,义父
5070,猫头鹰
5080,鬼刑部
5100,狮子猿
5200,仙乡白龙
5300,小龙人
5400,苇名一心
7000,水生的凛
7020,猩猩
7100,弦一郎
7110,三段弦一郎
7400,永真
9800,苇名杂兵
9820,武士大将
(无ID),小怪
